Planet,eclipse_observed,b_occ_median,k_nominal,prob_false_eclipse,prob_grazing_eclipse,prob_true_eclipse,dominant_regime
TOI-3714b,False,0.2689,0.204,0.0,0.0,1.0,True Eclipse
WASP-28b,False,0.2005,0.1139,0.0,0.0,1.0,True Eclipse
K2-280b,False,0.1418,0.0535,0.0,0.0,1.0,True Eclipse
HD202772Ab,True,0.4284,0.0613,0.0,0.0,1.0,True Eclipse
HAT-P-29b,False,0.403,0.0885,0.0,0.0035,0.9965,True Eclipse
TOI-1693b,False,0.2754,0.0281,0.0,0.0,0.0,False Eclipse
TOI-1803c,False,0.7563,0.055,0.0281,0.0543,0.9175,True Eclipse
WASP-92b,False,0.5888,0.112,0.0063,0.0167,0.977,True Eclipse
HAT-P-34b,False,0.4527,0.0801,0.0083,0.0106,0.9811,True Eclipse
WASP-80b,True,0.2167,0.1714,0.0,0.0,1.0,True Eclipse
LHS475b,False,0.6735,0.0317,0.0175,0.0135,0.969,True Eclipse
TOI-4010c,False,0.316,0.065,0.0,0.0026,0.9974,True Eclipse
HATS-33b,False,0.3069,0.116,0.0019,0.0052,0.9929,True Eclipse
TOI-2583Ab,False,0.2536,0.0898,0.0,0.0028,0.9972,True Eclipse
HD23472c,False,0.8003,0.0243,0.0199,0.0291,0.9511,True Eclipse
WASP-83b,False,0.2207,0.1018,0.0,0.004,0.996,True Eclipse
LP791-18b,False,0.5357,0.0604,0.1171,0.0538,0.8292,True Eclipse
K2-26b,False,0.5622,0.0471,0.1586,0.0465,0.7948,True Eclipse
KELT-21b,False,0.4095,0.0995,0.0,0.0002,0.9998,True Eclipse
XO-4b,True,0.1513,0.0886,0.0,0.0,1.0,True Eclipse
TOI-559b,False,0.1771,0.091,0.0,0.0,1.0,True Eclipse
WASP-169b,False,0.2853,0.0666,0.0057,0.0021,0.9922,True Eclipse
HAT-P-39b,False,0.3254,0.0993,0.0008,0.0048,0.9943,True Eclipse
TOI-892b,False,0.4116,0.079,0.0002,0.0046,0.9952,True Eclipse
WASP-5b,True,0.3406,0.1106,0.0,0.0035,0.9965,True Eclipse
TOI-1472b,False,0.3883,0.0455,0.0044,0.0021,0.9935,True Eclipse
TOI-942c,False,0.2814,0.048,0.0021,0.0023,0.9956,True Eclipse
K2-24b,False,0.3615,0.0431,0.01,0.0081,0.9819,True Eclipse
TOI-615b,False,0.4757,0.1002,0.0027,0.0047,0.9926,True Eclipse
TOI-2136b,False,0.4641,0.0588,0.0,0.0,1.0,True Eclipse
TOI-1776b,False,0.4895,0.0119,0.0054,0.0005,0.9941,True Eclipse
