Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction,Star Name,Star Temperature [K],Star H Mag,Star J Mag,Planet Period [days],Eccentricity,Inclination,Impact Parameter,Transit Depth [%],Planet Radius [Rjup],Planet Radius [Re],observed_flag
TOI-2449.01,TPC,,-0.0097423627084516,-0.2188608392710831,0.2093745643236578,0.2247303195063651,0.2091184765626315,0.2191169270321095,0.100836501,1.100836501,1,Premium (non-grazing),0.49646875,TOI-2449,6054.0,9.149,9.407,16.6542431,0,90,0,1.0168,1.057774343,11.85657223,False
TOI-245.01,TPC,,0.0024392773357695,-0.1034355127369924,0.1116373613571993,0.1135959813910245,0.1058747900727619,0.1091980840214298,0.03327161,1.03327161,1,Premium (non-grazing),0.4950729166666667,TOI-245,6208.0,7.63,7.88,8.7709021,0,90,0,0.1107,0.472706118,5.298553764,False
TOI-2450.01,TPC,,0.0032206595766437,-0.2985696600437852,0.3032124724944378,0.3081828795125442,0.301790319620429,0.2999918129177941,0.082161353,1.082161353,1,Premium (non-grazing),0.4959375,TOI-2450,5426.0,10.395,10.737,17.8832414,0,90,0,0.675048788,0.620946422,6.960176479,False
TOI-2453.01,TPC,,0.0073735196116487,-0.1365997309622268,0.1549830343470377,0.1531947639475824,0.1439732505738755,0.1476095147353889,0.058101793,1.058101793,1,Premium (non-grazing),0.4961145833333333,TOI-2453,3609.0,10.402,11.038,4.4414275,0,90,0,0.337581833,0.284111248,3.184597502,False
TOI-2457.01,TPC,,-0.0094736290579067,-0.2887873469763237,0.2632896551891641,0.2881014582248051,0.2793137179184169,0.2727632842470708,0.043117945,1.043117945,1,Premium (non-grazing),0.4948541666666666,TOI-2457,4045.0,9.126,9.741,14.1993538,0,90,0,0.185915715,0.264998498,2.970363056,False
TOI-2462.01,TPC,,0.0007076227005157,-0.1034542000121698,0.1032113044436122,0.1079883653090031,0.1041618227126855,0.1025036817430965,0.083114232,1.083114232,1,Premium (non-grazing),0.4960625,TOI-2462,5549.0,10.709,11.099,12.8643168,0,90,0,0.69079755,1.477940449,16.56620601,False
TOI-2463.01,TPC,,0.0011962160684734,-0.0538466339038994,0.056626741961302,0.0587120671869778,0.0550428499723728,0.0554305258928285,0.035127469,1.035127469,1,Premium (non-grazing),0.4951041666666667,TOI-2463,6481.0,8.318,8.521,10.6079445,0,90,0,0.123393911,1.098138862,12.30901734,False
TOI-2465.01,TPC,,-0.0041192683544106,-0.0991925181026535,0.0873057585249107,0.0969797599299988,0.0950732497482428,0.0914250268793214,0.02986827,1.02986827,1,Premium (non-grazing),0.4970729166666666,TOI-2465,6808.4,9.57,9.805,3.759205,0,90,0,0.089211357,0.295033018,3.307019419,False
TOI-2473.01,TPC,,-0.0001601039311737,-0.0283546281545366,0.0288619547325894,0.0302074267022509,0.0281945242233628,0.0290220586637632,0.059682493,1.059682493,1,Premium (non-grazing),0.4938020833333333,TOI-2473,6589.15,9.656,9.878,1.2311781,0,90,0,0.3562,0.888203995,9.955861463,False
TOI-2476.01,TPC,,0.0004793427802551,-0.0318430396807816,0.0340168601931732,0.0342538058618806,0.0323223824610367,0.0335375174129181,0.024289916,1.024289916,1,Premium (non-grazing),0.4963020833333333,TOI-2476,4731.6,8.741,9.224,3.8865992,0,90,0,0.059,1.339347257,15.0127176,False
