Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction
Kepler-6b,MCS,True,0.13477672793320505,0.09846955049803442,0.16903411849715866,0.037611881175344704,0.03630717743517063,0.034257390563953605,0.09424,1.09424,1,Premium (non-grazing),0.4969791666666667
GJ367b,MCS,True,0.5671330465941168,0.44624983934631685,0.66997311697156,0.128207432058904,0.12088320724779994,0.10284007037744325,0.01399,1.01399,1,Premium (non-grazing),0.4957083333333333
TOI-451d,MCS,False,0.3704747427333771,0.27989355927795023,0.4536974936209446,0.09550968974651268,0.09058118345542687,0.08322275088756748,0.04246,1.04246,1,Premium (non-grazing),0.4956770833333333
WASP-93b,MCS,False,0.8830006928628742,0.6776822560135026,0.9801731942529153,0.16749165687036957,0.20531843684937157,0.09717250139004108,0.107685045,1.107685045,1,Premium (non-grazing),0.47515624999999995
TOI-1899b,MCS,False,0.3193505083779837,0.22610983770312476,0.4151314802225162,0.09930693135036726,0.09324067067485892,0.09578097184453255,0.168,1.168,1,Premium (non-grazing),0.49441666666666667
HATS-24b,MCS,False,0.31846420174289536,0.18198406053334842,0.463803718976333,0.1436315042031498,0.13648014120954693,0.14533951723343763,0.1334,1.1334,1,Premium (non-grazing),0.4946145833333333
EPIC211945201b,MCS,False,0.8161005917985285,0.6494705873885289,0.9075251990602036,0.15203282074538318,0.16663000440999953,0.09142460726167512,0.0407,1.0407,1,Premium (non-grazing),0.47581249999999997
TOI-1135b,MCS,False,0.007590230427866696,0.00128840356981905,0.014355596737003535,0.006744139563433052,0.006301826858047646,0.006765366309136839,0.0697,1.0697,1,Premium (non-grazing),0.4960833333333333
TOI-4137b,MCS,False,0.5662709675657857,0.4411876415781241,0.6784738587918879,0.13443386292494006,0.12508332598766153,0.11220289122610227,0.086540759,1.086540759,1,Premium (non-grazing),0.4943333333333333
HAT-P-31b,MCS,False,0.36518830653897627,0.08274227759474814,0.7129349265251522,0.3119246558483954,0.2824460289442281,0.34774661998617595,0.08,1.08,1,Premium (non-grazing),0.4909375
WASP-31b,MCS,False,0.7489695807706237,0.584124947079982,0.869148194309222,0.1614765261514277,0.16484463369064173,0.12017861353859827,0.127273366,1.127273366,1,Premium (non-grazing),0.49082291666666666
WASP-96b,MCS,True,0.6896229290495851,0.5340494713572901,0.7986167070683738,0.15361211930947005,0.15557345769229503,0.10899377801878873,0.117443069,1.117443069,1,Premium (non-grazing),0.49264583333333334
TOI-481b,MCS,False,0.16241994984842956,0.09177333063125347,0.2381116622041576,0.07431369926712694,0.07064661921717609,0.07569171235572805,0.0614,1.0614,1,Premium (non-grazing),0.49822916666666667
HAT-P-57b,MCS,False,0.15595909198533076,0.07392192462948007,0.2511297400460347,0.09061297111518943,0.08203716735585069,0.09517064806070397,0.096652471,1.096652471,1,Premium (non-grazing),0.49402083333333335
HAT-P-37b,MCS,False,0.47842003394678223,0.3496926024994441,0.5971949877901574,0.13118812970115667,0.12872743144733811,0.11877495384337522,0.1378,1.1378,1,Premium (non-grazing),0.4975833333333333
TOI-3976Ab,MCS,False,0.4816535487599762,0.36340093921485883,0.5896270016906878,0.12391782652935214,0.11825260954511735,0.10797345293071164,0.074966782,1.074966782,1,Premium (non-grazing),0.49211458333333336
HAT-P-67b,MCS,False,0.10983117343992878,0.0035184206538660364,0.23004631047538135,0.11823594191490668,0.10631275278606274,0.12021513703545257,0.0834,1.0834,1,Premium (non-grazing),0.4938854166666667
K2-155c,MCS,False,0.38878971974095256,0.07705374421047581,0.7369229635309702,0.31654288347357346,0.3117359755304767,0.34813324379001764,0.0321,1.0321,1,Premium (non-grazing),0.48015625
TOI-1273b,MCS,False,0.9069200792653596,0.6908528658440305,1.0311290178655166,0.18209834211591525,0.21606721342132906,0.12420893860015703,0.096,1.096,2,Good (includes grazing),0.4531979166666667
TOI-1518b,MCS,True,0.8758743125361805,0.688034290346048,0.9654029355014426,0.16087591899416592,0.18784002219013252,0.0895286229652621,0.0988,1.0988,1,Premium (non-grazing),0.47763541666666665
