Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_minus_k,one_plus_k,acceptance_fraction
TOI-3118.01,TPC,,-0.0002636643992779633,-0.046067648641184185,0.04527458541093954,0.04862506656053261,0.04580398424190622,0.0455382498102175,0.057008771,0.942991229,1.057008771,0.4970520833333334
TOI-312.01,TPC,,-0.001541522127669406,-0.06186951194097924,0.0602517906664644,0.06411179209753733,0.060327989813309835,0.0617933127941338,0.070920638,0.929079362,1.070920638,0.4955729166666667
TOI-3126.01,TPC,,-0.0009279701194636167,-0.0372651354160808,0.03513249855101668,0.03830858078935131,0.03633716529661718,0.0360604686704803,0.12680694,0.87319306,1.12680694,0.49555208333333334
TOI-3127.01,TPC,,0.003069681046048574,-0.06190945946249001,0.0688425471384605,0.06824195329858196,0.06497914050853859,0.06577286609241192,0.099649385,0.900350615,1.099649385,0.4956145833333333
TOI-3129.01,TPC,,-0.0013229380672780105,-0.04079321356956834,0.04055680504720101,0.04228423663375604,0.039470275502290326,0.04187974311447902,0.072869747,0.927130253,1.072869747,0.4943645833333333
TOI-3133.01,TPC,,-0.0016379471068974421,-0.04877476521045863,0.044219524579749966,0.04889560025358266,0.047136818103561184,0.04585747168664741,0.071133677,0.928866323,1.071133677,0.49523958333333334
TOI-3134.01,TPC,,0.0005372569475668202,-0.02886311337539959,0.030411187466450017,0.03126118320259026,0.02940037032296641,0.029873930518883197,0.104642248,0.895357752,1.104642248,0.49588541666666663
TOI-3135.01,TPC,,-0.0010635038371943305,-0.07850696709444685,0.07732873012961752,0.08217384644833403,0.07744346325725252,0.07839223396681186,0.122515305,0.877484695,1.122515305,0.49254166666666666
TOI-3136.01,TPC,,2.229208802661197e-05,-0.058356604102902845,0.05702730507133551,0.06095563539660505,0.05837889619092946,0.05700501298330889,0.172249819,0.827750181,1.172249819,0.4908125
TOI-3139.01,TPC,,-0.0003844791045004859,-0.0664193824132301,0.06419153371220745,0.0692974604594431,0.06603490330872962,0.06457601281670794,0.066932802,0.933067198,1.066932802,0.4945833333333334
TOI-3141.01,TPC,,0.0003597964757724964,-0.07637849305901825,0.07424100226090415,0.07948717694248744,0.07673828953479075,0.07388120578513165,0.095812317,0.904187683,1.095812317,0.49521875
TOI-3143.01,TPC,,0.0006574625621569013,-0.013118957070696251,0.013819611470487521,0.01430033633297424,0.013776419632853153,0.01316214890833062,0.080374125,0.919625875,1.080374125,0.4959166666666667
TOI-3144.01,TPC,,-5.671212163648317e-07,-0.06808883595553201,0.07114953737965068,0.07243536661349208,0.06808826883431565,0.07115010450086705,0.095812317,0.904187683,1.095812317,0.49452083333333335
TOI-3145.01,TPC,,-0.0009597170875761523,-0.05541663148592361,0.052953886888659436,0.056587290922244564,0.054456914398347454,0.05391360397623559,0.125299641,0.874700359,1.125299641,0.49683333333333335
TOI-3149.01,TPC,,0.001262403006031394,-0.04384603452986909,0.046783410740965065,0.047935608337491366,0.045108437535900485,0.04552100773493367,0.124338248,0.875661752,1.124338248,0.49330208333333336
TOI-3151.01,TPC,,-0.0016050538934892942,-0.046036466819711325,0.04271043300111484,0.046637830624922404,0.04443141292622203,0.044315486894604135,0.117813412,0.8821865879999999,1.117813412,0.49674999999999997
TOI-3154.01,TPC,,-0.0023944991185202605,-0.059971233601846384,0.056523846425427814,0.062189648315930754,0.05757673448332613,0.05891834554394807,0.117240343,0.882759657,1.117240343,0.4969270833333333
TOI-3155.01,TPC,,-0.0006547298112237287,-0.09632123677625722,0.09389102763491924,0.10080162164856915,0.09566650696503348,0.09454575744614298,0.088769364,0.911230636,1.088769364,0.49579166666666663
TOI-3156.01,TPC,,1.1686937481218099e-05,-0.025267927296418653,0.025811008248073,0.02687452662450815,0.02527961423389987,0.02579932131059178,0.155692004,0.844307996,1.155692004,0.49754166666666666
TOI-3158.01,TPC,,-0.0003359075576675655,-0.06736495826376672,0.06346745562846176,0.06997796497982138,0.06702905070609916,0.06380336318612932,0.074431176,0.925568824,1.074431176,0.49267708333333327
TOI-3159.01,TPC,,-0.0005520927595387139,-0.0246427387020125,0.02345822021649719,0.025412847210563298,0.024090645942473787,0.024010312976035904,0.029495762,0.970504238,1.029495762,0.49441666666666667
TOI-3160.01,TPC,,0.000802212685290033,-0.05433648044026435,0.05532828591606007,0.05732926589339796,0.05513869312555438,0.05452607323077004,0.093112835,0.906887165,1.093112835,0.4922916666666667
TOI-3161.01,TPC,,-0.0007121762851455985,-0.03265769830819489,0.03106474224881507,0.03375890464481572,0.031945522023049296,0.03177691853396067,0.115368973,0.884631027,1.115368973,0.4956666666666667
TOI-3162.01,TPC,,-0.0009086365693741036,-0.024317789730448285,0.023391948362590637,0.02483060439155672,0.02340915316107418,0.02430058493196474,0.060931116,0.939068884,1.060931116,0.49492708333333335
TOI-3163.01,TPC,,0.0006168257470145696,-0.0497249662472633,0.051862765176856694,0.05347603705638772,0.05034179199427787,0.051245939429842124,0.09241212,0.90758788,1.09241212,0.4926770833333334
TOI-3167.01,TPC,,-0.0001731807841863074,-0.05618037901215226,0.057035922190451185,0.059719090461353534,0.05600719822796595,0.057209102974637493,0.118659176,0.881340824,1.118659176,0.49730208333333337
TOI-3168.01,TPC,,-0.0028732132970162695,-0.07397827151357227,0.06817377170052383,0.07579137589202323,0.071105058216556,0.0710469849975401,0.102420701,0.897579299,1.102420701,0.49590625
TOI-3169.01,TPC,,-0.00015611591335883932,-0.07385745482592738,0.07170045354955921,0.07618801589047668,0.07370133891256854,0.07185656946291806,0.100846418,0.8991535820000001,1.100846418,0.4941875
TOI-3170.01,TPC,,-0.0012542884945453835,-0.040546975170871725,0.03799022428812094,0.04094843759849938,0.03929268667632634,0.03924451278266632,0.069282032,0.930717968,1.069282032,0.496625
TOI-3173.01,TPC,,-0.0028288066600395375,-0.101151395146744,0.09525849452082005,0.10209027727479644,0.09832258848670446,0.09808730118085959,0.070781353,0.929218647,1.070781353,0.4973437500000001
TOI-3176.01,TPC,,0.0019826816152931264,-0.08290658164701561,0.0875686290108377,0.09086483803398852,0.08488926326230874,0.08558594739554458,0.088395879,0.911604121,1.088395879,0.49468749999999995
TOI-3177.01,TPC,,0.003089796181219035,-0.0584597983359066,0.06398687380584527,0.06447329248943798,0.06154959451712563,0.060897077624626234,0.15533834,0.84466166,1.15533834,0.4986041666666666
TOI-3179.01,TPC,,0.0038633958480975335,-0.081931715621782,0.08826397128992179,0.08960921979183974,0.08579511146987953,0.08440057544182426,0.128413395,0.871586605,1.128413395,0.49736458333333333
TOI-3180.01,TPC,,0.0005011276276399519,-0.03534663213413769,0.0376140872689453,0.038805971646015694,0.03584775976177764,0.03711295964130535,0.084852814,0.915147186,1.084852814,0.49685416666666665
TOI-3182.01,TPC,,0.004430318340293064,-0.09760123928446915,0.10321597024908302,0.10737292693215476,0.10203155762476221,0.09878565190878996,0.059749477,0.940250523,1.059749477,0.49282291666666667
TOI-3183.01,TPC,,-0.0010474718998364247,-0.04772106892229143,0.045251513761893764,0.0490297630847393,0.04667359702245501,0.046298985661730185,0.083964278,0.9160357219999999,1.083964278,0.4959895833333333
TOI-3184.01,TPC,,-0.002343061618753044,-0.05117879864398524,0.043716641978314465,0.05103242102817322,0.048835737025232195,0.04605970359706751,0.065345237,0.9346547629999999,1.065345237,0.49585416666666665
TOI-3185.01,TPC,,5.6378912189569114e-05,-0.04628151989414236,0.04804989002677177,0.05009705553590695,0.04633789880633193,0.0479935111145822,0.068044103,0.931955897,1.068044103,0.49889583333333337
TOI-3187.01,TPC,,-0.0007247842325958182,-0.012941221616759448,0.01200356159614671,0.012997473229335438,0.01221643738416363,0.012728345828742528,0.036193922,0.963806078,1.036193922,0.49775
TOI-3191.01,TPC,,-0.0006041232972529645,-0.04092318998077982,0.041639061345128583,0.0434492597485019,0.040319066683526854,0.04224318464238155,0.070285134,0.929714866,1.070285134,0.49464583333333334
TOI-3192.01,TPC,,0.001078149336682171,-0.045250108142303895,0.0471626188238961,0.04818562317414725,0.046328257478986064,0.04608446948721393,0.144499135,0.855500865,1.144499135,0.49463541666666666
TOI-3194.01,TPC,,-0.007197316156969079,-0.08890360896807079,0.07986079657278532,0.08879919589579714,0.0817062928111017,0.08705811272975439,0.122024588,0.877975412,1.122024588,0.4969791666666667
TOI-3195.01,TPC,,-0.00022809023078715926,-0.01087334881730891,0.01027366222930836,0.011077945033733947,0.01064525858652175,0.010501752460095519,0.058651513,0.941348487,1.058651513,0.49353125000000003
TOI-3196.01,TPC,,-0.00031242869271512404,-0.11046337473770046,0.10944617029570938,0.11683256703461364,0.11015094604498533,0.10975859898842451,0.107004673,0.892995327,1.107004673,0.49813541666666666
TOI-3198.01,TPC,,0.0015546228280717655,-0.050213373097606276,0.0550966359690136,0.05524787634089348,0.05176799592567804,0.05354201314094184,0.122311079,0.877688921,1.122311079,0.49744791666666666
TOI-3200.01,TPC,,-0.008238245506874983,-0.13572720723069526,0.11435425250085071,0.12992248404879742,0.12748896172382027,0.12259249800772569,0.086313383,0.913686617,1.086313383,0.49138541666666663
TOI-3202.01,TPC,,-0.00013789159577419144,-0.04695901620686859,0.044536953542931114,0.04841104877994639,0.0468211246110944,0.0446748451387053,0.052153619,0.947846381,1.052153619,0.49623958333333335
TOI-3203.01,TPC,,0.00015599335805464295,-0.07001355771942515,0.06835743827879603,0.07230960474102338,0.0701695510774798,0.06820144492074139,0.086775573,0.9132244270000001,1.086775573,0.49576041666666665
TOI-3206.01,TPC,,-0.0018447778727079674,-0.0360253166204171,0.034171154965023945,0.03653033182448169,0.034180538747709134,0.03601593283773191,0.077006493,0.922993507,1.077006493,0.4963229166666666
TOI-3208.01,TPC,,0.0023367174923352623,-0.04908825156463748,0.05503039906908803,0.05562365537684195,0.05142496905697275,0.05269368157675276,0.084911719,0.9150882810000001,1.084911719,0.49753125000000004
TOI-3210.01,TPC,,-0.0006820723163634774,-0.045987079900122234,0.044261625933099395,0.047190281434177195,0.04530500758375876,0.04494369824946287,0.131833228,0.868166772,1.131833228,0.4963854166666667
TOI-3211.01,TPC,,0.0016231117233514339,-0.060258913334021634,0.06426642324546235,0.06618507355502379,0.061882025057373065,0.06264331152211092,0.076223356,0.923776644,1.076223356,0.4961041666666667
