Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction,Star Name,Star Temperature [K],Star H Mag,Star J Mag,Planet Period [days],Eccentricity,Inclination,Impact Parameter,Transit Depth [%],Planet Radius [Rjup],Planet Radius [Re],Planet Transit Temperature [K],Planet Eclipse Temperature [K],observed_flag,abs_b_occ_84,abs_b_occ_median,lower_grazing,upper_grazing,grazing_depth
WASP-74b,MCS,True,0.830868987050855,0.6505459674930447,0.9325785453392018,0.1614853725675612,0.1803230195578102,0.1017095582883468,0.0984206,1.0984206,1,Premium (non-grazing),0.4778541666666666,WASP-74,5990.0,8.286,8.548000336,2.13775367,0.0,79.81,0.859797001,0.96,1.36,15.24421379,1921.293396,1921.293396,True,0.9325785453392018,0.830868987050855,0.9015794,1.0984206,0.030999145339201784
WASP-194b,MCS,False,0.8145722986583515,0.6491212220065731,0.9310073999575256,0.1586610206058239,0.1654510766517783,0.116435101299174,0.1007,1.1007,1,Premium (non-grazing),0.4830520833333333,WASP-194,6405.0,10.921,11.092,3.183387,0.0,83.23,0.84,1.0143,1.381,15.47960239,1693.757048,1693.757048,False,0.9310073999575256,0.8145722986583515,0.8993,1.1007,0.031707399957525584
K2-34b,MCS,False,0.822286102819316,0.6468065906633809,0.9413025386793096,0.1634877830397437,0.1754795121559351,0.1190164358599935,0.0905,1.0905,1,Premium (non-grazing),0.47984375,K2-34,6132.0,10.258,10.52799988,2.99563536,0.0,82.06,0.857,0.826474306,1.35,15.13212399,1741.370984,1741.370984,False,0.9413025386793096,0.822286102819316,0.9095,1.0905,0.0318025386793096
HAT-P-30b,MCS,True,0.7951203271182767,0.6130575823353326,0.9187440992317252,0.1694746452214995,0.1820627447829441,0.1236237721134484,0.1134,1.1134,1,Premium (non-grazing),0.48590625,HAT-P-30,6304.0,9.22,9.442000389,2.81060097,0.035,83.6,0.854,0.8072,1.34,15.02003418,1609.956741,1664.469726,True,0.9187440992317252,0.7951203271182767,0.8866,1.1134,0.03214409923172512
WASP-192b,MCS,False,0.8021357939294325,0.6188512758286329,0.9383507208242798,0.1716649063447206,0.1832845181007996,0.1362149268948473,0.095756138,1.095756138,1,Premium (non-grazing),0.4773541666666666,WASP-192,5910.0,11.193,11.49300003,2.8786676,0.0,82.7,0.84,0.926,1.23,13.7870463,1620.547109,1620.547109,False,0.9383507208242798,0.8021357939294325,0.904243862,1.095756138,0.034106858824279884
NGTS-11b,MCS,False,0.6951232892079318,0.4416271152708422,0.9365454888078758,0.2396916817786019,0.2534961739370895,0.241422199599944,0.101,1.101,1,Premium (non-grazing),0.4679895833333333,NGTS-11,5050.0,10.401,10.85499954,35.45533,0.13,89.16,0.81,1.018282657,0.817,9.157737257,503.9037812,470.3074106,False,0.9365454888078758,0.6951232892079318,0.899,1.101,0.03754548880787578
LTT1445Ac,MCS,False,0.8849555893792217,0.6725457297011739,1.0000944452352192,0.1947815670168503,0.2124098596780478,0.1151388558559974,0.0396,1.0396,2,Good (includes grazing),0.4196666666666667,LTT1445A,3340.0,6.774,7.294000149,3.1239035,0.0,87.43,0.937,0.157,0.10232866,1.146999978,508.6359947,508.6359947,False,1.0000944452352192,0.8849555893792217,0.9604,1.0396,0.039694445235219145
WASP-26b,MCS,True,0.8079770449145677,0.6336396910986127,0.9382749327460816,0.1672424330425449,0.1743373538159549,0.1302978878315138,0.101920368,1.101920368,1,Premium (non-grazing),0.483875,WASP-26,6034.0,9.775,10.02099991,2.75659747,0.0,82.5,0.839283416,1.0,1.21,13.56286668,1682.615253,1682.615253,True,0.9382749327460816,0.8079770449145677,0.898079632,1.101920368,0.040195300746081686
TrES-2b,MCS,True,0.8091706707487261,0.6313453125323464,0.9181939467806692,0.1610298008168629,0.1778253582163796,0.1090232760319431,0.1278,1.1278,1,Premium (non-grazing),0.485,TrES-2,5850.0,9.92,10.23200035,2.470613372,0.018,84.07,0.8418,1.633,1.187,13.30506013,1444.115346,1470.33151,True,0.9181939467806692,0.8091706707487261,0.8722,1.1278,0.04599394678066926
TOI-640b,MCS,False,0.8431816577043569,0.6597999615818857,0.9595124270972242,0.1664369354943863,0.1833816961224712,0.1163307693928672,0.08738,1.08738,1,Premium (non-grazing),0.4765,TOI-640,6460.0,9.327,9.519000053,5.0037904,0.05,82.54,0.8763,0.764,1.771,19.85110487,1766.954484,1735.572133,False,0.9595124270972242,0.8431816577043569,0.91262,1.08738,0.04689242709722419
HAT-P-56b,MCS,False,0.8453821125394031,0.648737457575417,0.9419153329158032,0.1662135693687148,0.1966446549639861,0.0965332203764,0.1054,1.1054,1,Premium (non-grazing),0.4792291666666666,HAT-P-56,6566.0,9.881,10.06799984,2.790825,0.0,82.13,0.8725,1.11296732,1.466,16.43236575,1839.569348,1839.569348,False,0.9419153329158032,0.8453821125394031,0.8946000000000001,1.1054,0.04731533291580314
TOI-4406b,MCS,False,0.8631941698419106,0.6767132245582691,0.9703807551338218,0.204138037729559,0.1864809452836414,0.1071865852919112,0.079,1.079,1,Premium (non-grazing),0.4343645833333333,TOI-4406,6219.0,9.769,10.0340004,30.08364,0.15,88.48,0.887,0.634587431,1.0,11.20898073,803.9192525,731.2964157,False,0.9703807551338218,0.8631941698419106,0.921,1.079,0.049380755133821785
KELT-14b,MCS,False,0.8040873054414976,0.63541855500603,0.9376904333700252,0.1654046457572766,0.1686687504354677,0.1336031279285275,0.1143,1.1143,1,Premium (non-grazing),0.4831354166666667,KELT-14,5802.0,9.487001,9.807999611,1.71005328,0.0,79.67,0.831,1.306,1.52,17.03765071,1904.599809,1904.599809,False,0.9376904333700252,0.8040873054414976,0.8857,1.1143,0.05199043337002518
TOI-905b,MCS,False,0.7959538886630233,0.6175668789809936,0.9226683143385432,0.1693553081010509,0.1783870096820297,0.1267144256755199,0.131083992,1.131083992,1,Premium (non-grazing),0.4895416666666666,TOI-905,5570.0,9.51,9.890000343,3.7395671,0.024,85.68,0.816,1.718,1.171,13.12571644,1200.653752,1182.654353,False,0.9226683143385432,0.7959538886630233,0.868916008,1.131083992,0.05375230633854322
HAT-P-27b,MCS,False,0.8279917527248664,0.6417825513676441,0.9355244234251916,0.1676119855829681,0.1862092013572223,0.1075326707003252,0.12,1.12,1,Premium (non-grazing),0.4801666666666666,HAT-P-27,5316.0,10.249,10.6260004,3.03957804,0.0,85.0,0.87,1.43,1.02,11.43316035,1200.517024,1200.517024,False,0.9355244234251916,0.8279917527248664,0.88,1.12,0.055524423425191594
